Note Name,Parent Node,Category,Connections,Description
cmi5 Specification v1.0,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,LMS Integration,"""[[ADL]], [[xAPI Profile]], [[Interoperability]]""","""The xAPI profile specifically for content launched from an LMS."""
Total contract ceiling amount,3RD-PARTY AGREEMENT,Financial & Commercial Terms,"""[[Budget]], [[Expenditure]], [[Procurement]]""","""Constraint defining the total maximum spending limit for a training agreement."""
RULA,RISK/RISK ASSESSMENT,Learner Safety & Health,"""[[Ergonomics]], [[Postural Risk]], [[Physical Safety]]""","""Rapid Upper Limb Assessment: McAtamney & Corlett framework for postural risk scoring."""
NASA-TLX,RISK/RISK ASSESSMENT,Cognitive Load,"""[[Workload]], [[Task Load Index]], [[Cognitive Overload]]""","""Hart & Staveland weighted workload assessment formula for mental demand."""
Disparate Impact Risk Calculator,RISK/RISK ASSESSMENT,Compliance & Legal,"""[[EEOC]], [[Labor Law]], [[Adverse Impact]]""","""Statistical analysis using the Four-Fifths Rule (80% threshold) for selection testing."""
Single Point of Failure (SPOF),RISK/RISK ASSESSMENT,Financial & Business Continuity,"""[[Vulnerability]], [[BIA]], [[Dependency]]""","""Quantifying training delivery dependency vulnerabilities in a Business Impact Analysis."""
AI Bias Risk Assessment,RISK/RISK ASSESSMENT,Emerging Technology,"""[[Algorithmic Fairness]], [[Demographic Parity]]""","""Quantification of algorithmic fairness disparity in training data models."""
29 CFR Part 1630,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[EEOC]], [[ADA]], [[Planning Phase]]""","""ADA Employment Regulations regarding reasonable accommodations in training."""
29 CFR Part 1614,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[EEOC]], [[Federal Sector]], [[Planning Phase]]""","""Federal Sector Equal Employment Opportunity requirements."""
41 CFR 60-1.4,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Equal Opportunity]], [[Federal Contractors]], [[Planning Phase]]""","""Equal Opportunity Clause requirements for federal contractors."""
41 CFR 60-20,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Discrimination]], [[Sex Discrimination]], [[Planning Phase]]""","""Federal guidelines regarding sex discrimination in employment and training."""
41 CFR 60-741,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Affirmative Action]], [[Disabilities]], [[Planning Phase]]""","""Affirmative action requirements for individuals with disabilities."""
41 CFR 60-300,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Veterans]], [[Affirmative Action]], [[Planning Phase]]""","""Affirmative action requirements for protected veterans."""
29 CFR Part 38,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[WIOA]], [[Workforce Training]], [[Planning Phase]]""","""WIOA non-discrimination requirements for workforce training programs."""
34 CFR Part 106,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Title IX]], [[Education]], [[Planning Phase]]""","""Title IX requirements for educational institutions receiving federal funds."""
45 CFR Part 84,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Section 504]], [[Rehabilitation Act]], [[Planning Phase]]""","""Section 504 of the Rehabilitation Act regarding non-discrimination."""
28 CFR Part 35,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[ADA]], [[Public Entities]], [[Planning Phase]]""","""ADA Title II regulations for public entities."""
28 CFR Part 36,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[ADA]], [[Public Accommodations]], [[Planning Phase]]""","""ADA Title III regulations for public accommodations."""
37 CFR Part 201,GOVERNANCE/LAW/FEDERAL REGULATION,Content & Intellectual Property,"""[[Copyright Office]], [[Copyright]], [[Development Phase]]""","""Copyright Office regulations governing training content."""
15 CFR Part 772,GOVERNANCE/LAW/FEDERAL REGULATION,Content & Intellectual Property,"""[[Export Administration]], [[Controlled Tech]], [[Development Phase]]""","""Export Administration Regulations for training involving controlled technology."""
22 CFR Parts 120-130,GOVERNANCE/LAW/FEDERAL REGULATION,Content & Intellectual Property,"""[[ITAR]], [[Defense]], [[Development Phase]]""","""International Traffic in Arms Regulations for defense-related training."""
48 CFR 52.227-14,GOVERNANCE/LAW/FEDERAL REGULATION,Content & Intellectual Property,"""[[FAR]], [[Rights in Data]], [[Development Phase]]""","""FAR clause regarding rights in data for federal contracts."""
48 CFR 52.227-19,GOVERNANCE/LAW/FEDERAL REGULATION,Content & Intellectual Property,"""[[Software License]], [[Commercial Software]], [[Development Phase]]""","""Commercial computer software license regulations."""
17 CFR Part 240.10b-5,GOVERNANCE/LAW/FEDERAL REGULATION,Content & Intellectual Property,"""[[Securities Fraud]], [[Public Information]], [[Development Phase]]""","""Regulations regarding securities fraud if training involves material non-public information."""
29 CFR 1910.1200,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[OSHA]], [[Chemical Safety]], [[HazCom]]""","""Hazard Communication Standard for chemical safety training."""
29 CFR 1910.134,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Respiratory Protection]], [[OSHA]], [[SME Compliance]]""","""Occupational safety training requirements for respiratory protection."""
29 CFR 1910.146,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Confined Spaces]], [[OSHA]], [[SME Compliance]]""","""Training requirements for permit-required confined spaces."""
29 CFR 1910.147,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Lockout/Tagout]], [[OSHA]], [[SME Compliance]]""","""Training requirements for lockout/tagout procedures."""
29 CFR 1910.178,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Forklift]], [[OSHA]], [[SME Compliance]]""","""Powered industrial truck (forklift) training standards."""
29 CFR 1910.1030,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Bloodborne Pathogens]], [[Healthcare]], [[OSHA]]""","""Bloodborne pathogens training requirements for healthcare."""
29 CFR 1926 Subpart C,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Safety Training]], [[Construction]], [[OSHA]]""","""General safety training requirements for construction."""
49 CFR Part 172 Subpart H,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Hazardous Materials]], [[Hazmat]], [[DOT]]""","""Hazardous materials training requirements."""
10 CFR Part 26,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Fitness for Duty]], [[Nuclear]], [[NRC]]""","""Fitness for duty training in the nuclear industry."""
"14 CFR Parts 61, 63, 65",GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Pilot]], [[Flight Crew]], [[FAA]]""","""Certification and training for pilot, flight crew, and airmen."""
21 CFR Part 11,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Pharmaceutical]], [[Electronic Records]], [[FDA]]""","""Regulations for electronic records in pharmaceutical training systems."""
21 CFR Part 820,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Medical Device]], [[Quality System]], [[FDA]]""","""Quality System Regulation for medical device training."""
12 CFR Part 748,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Security Program]], [[Financial]], [[Banking]]""","""Security program requirements for financial institution training."""
16 CFR Part 681,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Identity Theft]], [[Red Flags]], [[FTC]]""","""Identity theft red flags training requirements."""
31 CFR Part 1020,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Bank Secrecy Act]], [[Anti-Money Laundering]], [[Treasury]]""","""Anti-money laundering training under the Bank Secrecy Act."""
5 U.S.C. � 552a,GOVERNANCE/LAW/FEDERAL REGULATION,Privacy & Data Protection,"""[[Privacy Act]], [[System Design]], [[Data Privacy]]""","""Privacy Act implementing regulations for training system design."""
"45 CFR Parts 160, 164",GOVERNANCE/LAW/FEDERAL REGULATION,Privacy & Data Protection,"""[[HIPAA]], [[Privacy]], [[PHI]]""","""HIPAA privacy and security rules for handling PHI in training."""
34 CFR Part 99,GOVERNANCE/LAW/FEDERAL REGULATION,Privacy & Data Protection,"""[[FERPA]], [[Student Records]], [[Education]]""","""FERPA regulations for training involving student records."""
16 CFR Part 314,GOVERNANCE/LAW/FEDERAL REGULATION,Privacy & Data Protection,"""[[Safeguards Rule]], [[Financial]], [[FTC]]""","""Safeguards Rule for financial institution training data."""
16 CFR Part 313,GOVERNANCE/LAW/FEDERAL REGULATION,Privacy & Data Protection,"""[[Consumer Privacy]], [[Financial Information]], [[FTC]]""","""Regulations for privacy of consumer financial information."""
48 CFR (FAR),GOVERNANCE/LAW/FEDERAL REGULATION,Procurement & Contracting,"""[[FAR]], [[Acquisition]], [[Contracting]]""","""Federal Acquisition Regulation covering training procurement lifecycle."""
48 CFR Chapter 99,GOVERNANCE/LAW/FEDERAL REGULATION,Procurement & Contracting,"""[[Cost Accounting]], [[CAS]], [[FAR]]""","""Cost Accounting Standards for federal training contracts."""
41 CFR Chapters 50-60,GOVERNANCE/LAW/FEDERAL REGULATION,Procurement & Contracting,"""[[Labor Standards]], [[Public Contracts]], [[DOL]]""","""Public contracts labor standards for training."""
41 CFR Chapter 301,GOVERNANCE/LAW/FEDERAL REGULATION,Procurement & Contracting,"""[[Travel Allowances]], [[Travel]], [[GSA]]""","""Regulations governing travel allowances for training."""
29 CFR 1910,GOVERNANCE/LAW/FEDERAL REGULATION,Workplace Safety,"""[[OSHA]], [[General Industry]], [[Implementation Phase]]""","""General industry safety standards applicable during training delivery."""
29 CFR 1926,GOVERNANCE/LAW/FEDERAL REGULATION,Workplace Safety,"""[[OSHA]], [[Construction]], [[Implementation Phase]]""","""Construction safety standards for onsite training."""
29 CFR 1904,GOVERNANCE/LAW/FEDERAL REGULATION,Workplace Safety,"""[[Occupational Injuries]], [[Reporting]], [[Implementation Phase]]""","""Recording and reporting occupational injuries during training."""
29 CFR Part 541,GOVERNANCE/LAW/FEDERAL REGULATION,Compensation & Labor,"""[[FLSA]], [[Mandatory Training]], [[DOL]]""","""Exempt/non-exempt status requirements for paid training time."""
29 CFR Part 778,GOVERNANCE/LAW/FEDERAL REGULATION,Compensation & Labor,"""[[Overtime]], [[Compensation]], [[DOL]]""","""Overtime compensation calculations for training hours."""
29 CFR Part 785,GOVERNANCE/LAW/FEDERAL REGULATION,Compensation & Labor,"""[[Hours Worked]], [[Training Time]], [[DOL]]""","""Determination of when training counts as compensable work time."""
29 CFR Part 516,GOVERNANCE/LAW/FEDERAL REGULATION,Compensation & Labor,"""[[Recordkeeping]], [[Labor Records]], [[DOL]]""","""Requirements for keeping training time documentation."""
41 CFR Chapter 60,GOVERNANCE/LAW/FEDERAL REGULATION,Compensation & Labor,"""[[Davis-Bacon]], [[Prevailing Wage]], [[DOL]]""","""Prevailing wage requirements for workers during training."""
"20 CFR Parts 655, 656",GOVERNANCE/LAW/FEDERAL REGULATION,Compensation & Labor,"""[[Foreign Labor]], [[H-1B]], [[DOL]]""","""Foreign labor certification training requirements for visas."""
29 CFR 1910.1030(g)(2),GOVERNANCE/LAW/FEDERAL REGULATION,Instructional Delivery,"""[[Bloodborne Pathogens]], [[Delivery Standards]], [[OSHA]]""","""Specific delivery requirements for bloodborne pathogens training."""
49 CFR 172.704,GOVERNANCE/LAW/FEDERAL REGULATION,Instructional Delivery,"""[[Hazmat]], [[Testing]], [[DOT]]""","""Requirements for hazmat training delivery and testing."""
10 CFR 55.45,GOVERNANCE/LAW/FEDERAL REGULATION,Instructional Delivery,"""[[Nuclear Operator]], [[NRC]], [[Examination]]""","""Nuclear operator training and examination requirements."""
14 CFR 142,GOVERNANCE/LAW/FEDERAL REGULATION,Instructional Delivery,"""[[Aviation]], [[Training Centers]], [[FAA]]""","""Regulations for aviation training centers."""
46 CFR Part 10,GOVERNANCE/LAW/FEDERAL REGULATION,Instructional Delivery,"""[[Merchant Mariner]], [[USCG]], [[Maritime]]""","""Regulations for merchant mariner training."""
33 CFR Part 155,GOVERNANCE/LAW/FEDERAL REGULATION,Instructional Delivery,"""[[Oil Pollution]], [[EPA]], [[Maritime]]""","""Oil pollution prevention training standards."""
36 CFR Part 1194,GOVERNANCE/LAW/FEDERAL REGULATION,Technology & Accessibility,"""[[Section 508]], [[E-Learning]], [[VILT]]""","""Section 508 standards for electronic training accessibility."""
47 CFR Part 14,GOVERNANCE/LAW/FEDERAL REGULATION,Technology & Accessibility,"""[[AEI]], [[Emergency Information]], [[FCC]]""","""Accessible Emergency Information (AEI) requirements for delivery."""
28 CFR Part 35 (WCAG),GOVERNANCE/LAW/FEDERAL REGULATION,Technology & Accessibility,"""[[WCAG]], [[Online Training]], [[DOJ]]""","""Web content accessibility standards for online training delivery."""
29 CFR 1910.120,GOVERNANCE/LAW/FEDERAL REGULATION,Monitoring & Supervision,"""[[HAZWOPER]], [[OSHA]], [[Supervision]]""","""Supervision requirements during HAZWOPER training."""
10 CFR Part 19,GOVERNANCE/LAW/FEDERAL REGULATION,Monitoring & Supervision,"""[[NRC]], [[Worker Reports]], [[Nuclear]]""","""Notices, instructions, and reports to nuclear workers."""
30 CFR Part 48,GOVERNANCE/LAW/FEDERAL REGULATION,Monitoring & Supervision,"""[[MSHA]], [[Mine Safety]], [[Refresher]]""","""Mine safety training and retraining requirements."""
29 CFR 1910.1030(g)(2)(vii)(H),GOVERNANCE/LAW/FEDERAL REGULATION,Assessment & Testing,"""[[Bloodborne Pathogens]], [[Testing]], [[OSHA]]""","""Testing requirements for bloodborne pathogens training."""
49 CFR 172.702(d),GOVERNANCE/LAW/FEDERAL REGULATION,Assessment & Testing,"""[[Hazmat]], [[Certification]], [[DOT]]""","""Hazmat testing and certification requirements."""
10 CFR 55.43,GOVERNANCE/LAW/FEDERAL REGULATION,Assessment & Testing,"""[[Nuclear Operator]], [[Written Exam]], [[NRC]]""","""Nuclear operator written examination standards."""
14 CFR 61.39,GOVERNANCE/LAW/FEDERAL REGULATION,Assessment & Testing,"""[[Pilot]], [[FAA]], [[Prerequisites]]""","""Prerequisites for pilot testing and evaluation."""
42 CFR Part 493,GOVERNANCE/LAW/FEDERAL REGULATION,Assessment & Testing,"""[[CLIA]], [[Laboratory]], [[CMS]]""","""Testing requirements for laboratory personnel under CLIA."""
49 CFR 172.704(d),GOVERNANCE/LAW/FEDERAL REGULATION,Certification & Credentialing,"""[[Hazmat]], [[Documentation]], [[DOT]]""","""Documentation requirements for hazmat certification."""
29 CFR 1910.178(l),GOVERNANCE/LAW/FEDERAL REGULATION,Certification & Credentialing,"""[[Forklift Operator]], [[OSHA]], [[Certification]]""","""Powered industrial truck operator certification."""
46 CFR Part 12,GOVERNANCE/LAW/FEDERAL REGULATION,Certification & Credentialing,"""[[Merchant Mariner]], [[USCG]], [[Maritime]]""","""Credentials for merchant mariners."""
10 CFR Part 55,GOVERNANCE/LAW/FEDERAL REGULATION,Certification & Credentialing,"""[[Nuclear Operator]], [[Licensing]], [[NRC]]""","""Licensing requirements for nuclear operators."""
14 CFR Part 61 (Certification),GOVERNANCE/LAW/FEDERAL REGULATION,Certification & Credentialing,"""[[Pilot]], [[FAA]], [[Certification]]""","""Requirements for pilot certification."""
21 CFR 1304.03,GOVERNANCE/LAW/FEDERAL REGULATION,Certification & Credentialing,"""[[DEA]], [[Controlled Substances]], [[DOJ]]""","""DEA registration requirements for controlled substances training."""
29 CFR 1910.1020,GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Exposure Records]], [[OSHA]], [[30 Year Retention]]""","""Retention of employee exposure and medical records (30 years)."""
29 CFR 1910.1030(h),GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Bloodborne Pathogens]], [[Documentation]], [[3 Year Retention]]""","""Bloodborne pathogens training records (3 years)."""
49 CFR 172.704(d) (Retention),GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Hazmat]], [[DOT]], [[Employment Records]]""","""Retention of hazmat records (3 years + duration of employment)."""
29 CFR 1910.134(m),GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Respiratory Protection]], [[OSHA]], [[Documentation]]""","""Recordkeeping requirements for respiratory protection."""
29 CFR 1926.1101(n),GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Asbestos]], [[OSHA]], [[Documentation]]""","""Asbestos training records (employment duration + 1 year)."""
10 CFR 26.715,GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[NRC]], [[Fitness-for-Duty]], [[5 Year Retention]]""","""Nuclear fitness-for-duty records (5+ years)."""
21 CFR 211.25(a),GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[FDA]], [[Pharmaceutical]], [[Documentation]]""","""Documentation requirements for pharmaceutical training."""
30 CFR 75.1509,GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[MSHA]], [[Mine Safety]], [[Indefinite Retention]]""","""Indefinite retention of mine safety training certificates."""
46 CFR 15.1111,GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Maritime]], [[USCG]], [[Documentation]]""","""Record retention for merchant mariner training."""
29 CFR 1904.39,GOVERNANCE/LAW/FEDERAL REGULATION,Reporting,"""[[Injuries]], [[OSHA]], [[24 Hour Reporting]]""","""Reporting severe training-related injuries within 24 hours."""
29 CFR 1960,GOVERNANCE/LAW/FEDERAL REGULATION,Reporting,"""[[OSH]], [[Federal Employees]], [[OSHA]]""","""OSH reporting requirements for federal employees."""
10 CFR Part 21,GOVERNANCE/LAW/FEDERAL REGULATION,Reporting,"""[[Defect Reporting]], [[Nuclear]], [[NRC]]""","""Reporting training deficiencies in the nuclear sector."""
14 CFR 121.415,GOVERNANCE/LAW/FEDERAL REGULATION,Reporting,"""[[Air Carrier]], [[FAA]], [[Reporting]]""","""Reporting requirements for air carrier training."""
29 CFR 1910.1030(g)(2)(ix),GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Bloodborne Pathogens]], [[OSHA]], [[Annual Retraining]]""","""Mandatory annual retraining for bloodborne pathogens."""
49 CFR 172.704(c),GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Hazmat]], [[DOT]], [[3 Year Refresher]]""","""Hazmat recurrent training required every 3 years."""
29 CFR 1910.134(k)(1),GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Respiratory Protection]], [[OSHA]], [[Annual Retraining]]""","""Mandatory annual retraining for respiratory protection."""
29 CFR 1910.178(l)(2)(iii),GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Forklift]], [[OSHA]], [[3 Year Evaluation]]""","""Evaluation of forklift operators required every 3 years."""
31 CFR 1024.210,GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Anti-Money Laundering]], [[Treasury]], [[Ongoing Training]]""","""Ongoing anti-money laundering training requirements."""
10 CFR 55.59,GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Nuclear Operator]], [[NRC]], [[Requalification]]""","""Nuclear operator requalification training standards."""
14 CFR 135.351,GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[Pilot]], [[FAA]], [[Recurrent Training]]""","""Recurrent training requirements for pilots."""
30 CFR 48.8,GOVERNANCE/LAW/FEDERAL REGULATION,Refresher Training,"""[[MSHA]], [[Mine Safety]], [[8 Hour Refresher]]""","""Annual 8-hour refresher for mine safety."""
48 CFR 52.246,GOVERNANCE/LAW/FEDERAL REGULATION,Validation & Audit,"""[[Quality Assurance]], [[FAR]], [[Validation]]""","""Contract training validation and quality assurance."""
10 CFR Part 50 Appendix B,GOVERNANCE/LAW/FEDERAL REGULATION,Validation & Audit,"""[[Nuclear]], [[Quality Assurance]], [[NRC]]""","""Verification standards for nuclear quality assurance training."""
21 CFR Part 820 (Audit),GOVERNANCE/LAW/FEDERAL REGULATION,Validation & Audit,"""[[Medical Device]], [[FDA]], [[Effectiveness Audit]]""","""Medical device quality system audits for training effectiveness."""
ISO 9001 (Federal Requirement),GOVERNANCE/LAW/FEDERAL REGULATION,Validation & Audit,"""[[ISO 9001]], [[Quality Management]], [[Federal Contract]]""","""Quality management training audits required by federal contract."""
29 CFR 1910.1200(h)(3),GOVERNANCE/LAW/FEDERAL REGULATION,Change Management,"""[[HazCom]], [[OSHA]], [[Hazard Updates]]""","""Hazard Communication retraining required when new hazards are introduced."""
29 CFR 1910.147(c)(7)(iii),GOVERNANCE/LAW/FEDERAL REGULATION,Change Management,"""[[Lockout/Tagout]], [[OSHA]], [[Process Changes]]""","""Lockout/tagout retraining required when process changes occur."""
49 CFR 172.704(c)(2),GOVERNANCE/LAW/FEDERAL REGULATION,Change Management,"""[[Hazmat]], [[DOT]], [[Regulatory Update]]""","""Hazmat training updates required when regulations change."""
21 CFR 11.10(i),GOVERNANCE/LAW/FEDERAL REGULATION,Change Management,"""[[FDA]], [[Electronic Systems]], [[System Change]]""","""Retraining for electronic systems required when systems change."""
29 CFR Part 1606,GOVERNANCE/LAW/FEDERAL REGULATION,Anti-Discrimination,"""[[EEOC]], [[National Origin]], [[Language Access]]""","""National origin discrimination and language accessibility."""
29 CFR Part 1625,GOVERNANCE/LAW/FEDERAL REGULATION,Anti-Discrimination,"""[[EEOC]], [[Age Discrimination]]""","""Regulations prohibiting age discrimination in training."""
29 CFR Part 1604,GOVERNANCE/LAW/FEDERAL REGULATION,Anti-Discrimination,"""[[EEOC]], [[Sex Discrimination]], [[Orientation]]""","""Sex discrimination regulations including pregnancy and sexual orientation."""
29 CFR Part 1605,GOVERNANCE/LAW/FEDERAL REGULATION,Anti-Discrimination,"""[[EEOC]], [[Religious Discrimination]], [[Accommodation]]""","""Religious discrimination and accommodation requirements."""
41 CFR 60-2,GOVERNANCE/LAW/FEDERAL REGULATION,Anti-Discrimination,"""[[Affirmative Action]], [[Compliance]]""","""Regulations for affirmative action programs."""
29 CFR Part 1977,GOVERNANCE/LAW/FEDERAL REGULATION,Whistleblower Protection,"""[[OSHA]], [[Retaliation]], [[Reporting]]""","""Protections against retaliation for reporting training issues."""
10 CFR 50.7,GOVERNANCE/LAW/FEDERAL REGULATION,Whistleblower Protection,"""[[Nuclear]], [[NRC]], [[Retaliation]]""","""Whistleblower protections for the nuclear sector."""
49 CFR Part 1978,GOVERNANCE/LAW/FEDERAL REGULATION,Whistleblower Protection,"""[[Transportation]], [[Surface Transport]], [[OSHA]]""","""Surface transportation whistleblower protections."""
2 CFR Part 200,GOVERNANCE/LAW/FEDERAL REGULATION,Financial & Grants,"""[[Federal Grants]], [[Uniform Guidance]], [[OMB]]""","""Uniform Administrative Requirements for federal grants."""
"29 CFR Parts 95, 97",GOVERNANCE/LAW/FEDERAL REGULATION,Financial & Grants,"""[[Grants Administration]], [[DOL]]""","""Administration standards for Department of Labor grants."""
34 CFR Parts 75-86,GOVERNANCE/LAW/FEDERAL REGULATION,Financial & Grants,"""[[Education Department]], [[EDGAR]], [[Grants]]""","""Education Department General Administrative Regulations for grants."""
20 CFR Part 683,GOVERNANCE/LAW/FEDERAL REGULATION,Financial & Grants,"""[[WIOA]], [[Administrative]], [[DOL]]""","""Administrative provisions for WIOA programs."""
38 CFR Part 21,GOVERNANCE/LAW/FEDERAL REGULATION,Veterans Benefits,"""[[Veterans]], [[Educational Assistance]], [[VA]]""","""Regulations for veterans educational assistance."""
38 CFR Part 18,GOVERNANCE/LAW/FEDERAL REGULATION,Veterans Benefits,"""[[Non-Discrimination]], [[Federal Assistance]], [[VA]]""","""Non-discrimination in federally assisted programs under the VA."""
26 CFR 1.162-5,GOVERNANCE/LAW/FEDERAL REGULATION,Tax Compliance,"""[[IRS]], [[Expense Deductibility]], [[Education]]""","""IRS rules for educational expense deductibility."""
26 CFR 1.132-5,GOVERNANCE/LAW/FEDERAL REGULATION,Tax Compliance,"""[[IRS]], [[Fringe Benefits]], [[Education]]""","""Working condition fringe benefits regarding training."""
26 CFR 1.127-2,GOVERNANCE/LAW/FEDERAL REGULATION,Tax Compliance,"""[[IRS]], [[Educational Assistance]], [[Employer Paid]]""","""Educational assistance program tax compliance."""
8 CFR Part 214,GOVERNANCE/LAW/FEDERAL REGULATION,Immigration,"""[[Visa]], [[F-1]], [[J-1]], [[DHS]]""","""Training limitations for F-1 and J-1 visa holders."""
8 CFR Part 274a,GOVERNANCE/LAW/FEDERAL REGULATION,Immigration,"""[[Employment Verification]], [[I-9]], [[Trainees]]""","""Employment verification requirements for trainees."""
